County,Code,Deaths,Population,Crude Rate
"Autauga County, AL",1001,12,864759,Unreliable
"Baldwin County, AL",1003,115,2895650,4
"Barbour County, AL",1005,Suppressed,473640,Suppressed
"Bibb County, AL",1007,11,374837,Unreliable
"Blount County, AL",1009,25,940072,2.7
"Bullock County, AL",1011,Suppressed,187222,Suppressed
"Butler County, AL",1013,Suppressed,353623,Suppressed
"Calhoun County, AL",1015,13,1959867,Unreliable
"Chambers County, AL",1017,Suppressed,595089,Suppressed
"Cherokee County, AL",1019,11,429362,Unreliable
"Chilton County, AL",1021,12,718998,Unreliable
"Choctaw County, AL",1023,Suppressed,245328,Suppressed
"Clarke County, AL",1025,Suppressed,448517,Suppressed
"Clay County, AL",1027,Suppressed,237511,Suppressed
"Cleburne County, AL",1029,Suppressed,248805,Suppressed
"Coffee County, AL",1031,11,806326,Unreliable
"Colbert County, AL",1033,12,926647,Unreliable
"Conecuh County, AL",1035,Suppressed,227665,Suppressed
"Coosa County, AL",1037,Suppressed,194203,Suppressed
"Covington County, AL",1039,Suppressed,637992,Suppressed
"Crenshaw County, AL",1041,Suppressed,235294,Suppressed
"Cullman County, AL",1043,12,1348617,Unreliable
"Dale County, AL",1045,15,842346,Unreliable
"Dallas County, AL",1047,Suppressed,750390,Suppressed
"DeKalb County, AL",1049,17,1166977,Unreliable
"Elmore County, AL",1051,10,1272732,Unreliable
"Escambia County, AL",1053,30,645721,4.6
"Etowah County, AL",1055,31,1762214,1.8
"Fayette County, AL",1057,Suppressed,299972,Suppressed
"Franklin County, AL",1059,Suppressed,532441,Suppressed
"Geneva County, AL",1061,Suppressed,446566,Suppressed
"Greene County, AL",1063,Suppressed,158808,Suppressed
"Hale County, AL",1065,Suppressed,277271,Suppressed
"Henry County, AL",1067,Suppressed,287392,Suppressed
"Houston County, AL",1069,30,1646898,1.8
"Jackson County, AL",1071,Suppressed,907056,Suppressed
"Jefferson County, AL",1073,704,11195114,6.3
"Lamar County, AL",1075,Suppressed,252760,Suppressed
"Lauderdale County, AL",1077,19,1539817,Unreliable
"Lawrence County, AL",1079,Suppressed,581454,Suppressed
"Lee County, AL",1081,23,2259103,1
"Limestone County, AL",1083,10,1311618,Unreliable
"Lowndes County, AL",1085,Suppressed,203850,Suppressed
"Macon County, AL",1087,Suppressed,372204,Suppressed
"Madison County, AL",1089,42,5355512,0.8
"Marengo County, AL",1091,Suppressed,362769,Suppressed
"Marion County, AL",1093,Suppressed,521158,Suppressed
"Marshall County, AL",1095,Suppressed,1513293,Suppressed
"Mobile County, AL",1097,216,6906750,3.1
"Monroe County, AL",1099,Suppressed,396147,Suppressed
"Montgomery County, AL",1101,39,3843739,1
"Morgan County, AL",1103,26,1972383,1.3
"Perry County, AL",1105,Suppressed,183897,Suppressed
"Pickens County, AL",1107,Suppressed,343804,Suppressed
"Pike County, AL",1109,Suppressed,536577,Suppressed
"Randolph County, AL",1111,10,384427,Unreliable
"Russell County, AL",1113,17,896464,Unreliable
"St. Clair County, AL",1115,47,1306235,3.6
"Shelby County, AL",1117,104,3041365,3.4
